position,x,y,z,rmse_vx,rmse_vy,rmse_vz,sample_count,mean_vx,mean_vy,mean_vz
"(22, -28, 11)",22,-28,11,0.008130893,0.0066279727,0.005559793,125,0.58083314,0.46810126,0.41599926
"(25, -28, 11)",25,-28,11,0.0064580003,0.006559111,0.006605015,125,0.5858163,0.45975053,0.4192485
"(29, -28, 11)",29,-28,11,0.0053492584,0.005370526,0.008237151,125,0.5897013,0.4522444,0.42330194
"(33, -28, 11)",33,-28,11,0.004818239,0.0037565401,0.009402718,125,0.59336066,0.4441154,0.42816493
"(37, -28, 11)",37,-28,11,0.004500243,0.0029362508,0.009481599,125,0.5969139,0.43501884,0.4330628
"(41, -28, 11)",41,-28,11,0.0043167155,0.0037428362,0.008779067,125,0.60000175,0.4261394,0.4369279
"(45, -28, 11)",45,-28,11,0.004619012,0.0060541756,0.008473916,125,0.60189,0.4191364,0.43866405
"(49, -28, 11)",49,-28,11,0.0055482443,0.0093403775,0.009525857,125,0.60180503,0.4151865,0.4376306
"(53, -28, 11)",53,-28,11,0.006307525,0.012120872,0.011684572,125,0.598966,0.41400743,0.43368787
"(57, -28, 11)",57,-28,11,0.0065979203,0.013441964,0.013792434,125,0.592897,0.4145397,0.4271241
"(61, -28, 11)",61,-28,11,0.0062654233,0.012657382,0.014591798,125,0.58397573,0.41491485,0.4189347
"(65, -28, 11)",65,-28,11,0.00527114,0.0100912815,0.013723339,125,0.57306266,0.41333044,0.41036218
"(69, -28, 11)",69,-28,11,0.0045329104,0.006931218,0.011794682,125,0.5618613,0.40882763,0.40256712
"(73, -28, 11)",73,-28,11,0.004820953,0.0057584075,0.009673733,125,0.55126095,0.4021104,0.3963454
"(77, -28, 11)",77,-28,11,0.0058998815,0.008566534,0.009210694,125,0.5416536,0.39581668,0.39225304
"(81, -28, 11)",81,-28,11,0.006650726,0.012424803,0.010691455,125,0.5327322,0.39299083,0.38982671
"(85, -28, 11)",85,-28,11,0.0070532653,0.015421597,0.013141272,125,0.5250904,0.39606604,0.38870752
"(89, -28, 11)",89,-28,11,0.0072867624,0.016663516,0.015801275,125,0.51941794,0.40537277,0.38886273
"(93, -28, 11)",93,-28,11,0.0076471427,0.015460975,0.018265266,125,0.5172069,0.419261,0.39067832
"(97, -28, 11)",97,-28,11,0.008262587,0.013049482,0.020084716,125,0.51955414,0.43479168,0.39459574
"(101, -28, 11)",101,-28,11,0.008946722,0.011092106,0.021218477,125,0.52646804,0.4479879,0.40088627
"(105, -28, 11)",105,-28,11,0.009712461,0.010443396,0.021733016,125,0.53751636,0.45696488,0.409755
"(109, -28, 11)",109,-28,11,0.00971475,0.010634766,0.020312598,100,0.54864275,0.46059936,0.41530216
"(113, -28, 11)",113,-28,11,0.0102898525,0.009988401,0.018127037,75,0.560094,0.4603295,0.42151198
"(117, -28, 11)",117,-28,11,0.0110219605,0.008239505,0.015574306,50,0.5705315,0.4571409,0.4276273
"(121, -28, 11)",121,-28,11,0.011697563,0.0056616226,0.012371793,25,0.5798657,0.45226422,0.43353897
"(-121, -32, 11)",-121,-32,11,0.0048278715,0.004696108,0.0037715868,25,0.6194903,0.3930416,0.42407393
"(-117, -32, 11)",-117,-32,11,0.0052632033,0.00363328,0.0048144925,50,0.6222963,0.3757549,0.422371
"(-113, -32, 11)",-113,-32,11,0.0051322733,0.0031076178,0.0056689573,75,0.62861943,0.35986018,0.42097825
"(-109, -32, 11)",-109,-32,11,0.0054842783,0.004272948,0.0061844774,100,0.63713837,0.34803134,0.42010868
"(-105, -32, 11)",-105,-32,11,0.0069907326,0.006373826,0.0064527662,125,0.64727885,0.34239364,0.41978523
"(-101, -32, 11)",-101,-32,11,0.0073330146,0.0073108957,0.0057715285,125,0.66096914,0.34275842,0.4184925
"(-97, -32, 11)",-97,-32,11,0.006554904,0.008669119,0.0054420074,125,0.6743267,0.35231024,0.4180579
"(-93, -32, 11)",-93,-32,11,0.006607066,0.01077173,0.0056254095,125,0.6852574,0.37041247,0.4183163
"(-89, -32, 11)",-89,-32,11,0.0066447286,0.011164501,0.0058892784,125,0.6920601,0.39440504,0.41881526
