file,rows,cols,mae_mean_norm,mae_p95_norm,rmse_mean_norm,rmse_global_norm,mae_mean_raw,mae_median_raw,mae_std_raw,mae_p95_raw,rmse_mean_raw,rmse_median_raw,rmse_std_raw,rmse_p95_raw,rmse_global_raw,max_abs_err_raw,path
0478.pkl.gz,26448,375,0.0005975909880362451,0.0012034457176923752,0.0007790279341861606,0.000872396614508752,0.0002756949979811907,0.00023525318829342723,0.00014125602319836617,0.0005552024813368917,0.00035939988447353244,0.00030768505530431867,0.00018115669081453234,0.0007149985176511109,0.0004024749252438431,0.006131406873464584,/Users/kkreth/PycharmProjects/data/Final_Cubed_OG_Data_wLatent/11p4/0478.pkl.gz
0474.pkl.gz,26448,375,0.00018181270570494235,0.0003353490901645273,0.00023655217955820262,0.00025865310436404813,8.387820707866922e-05,7.523471140302718e-05,3.7550838897004724e-05,0.00015471129154320806,0.00010913194273598492,9.811322524910793e-05,4.826393342227675e-05,0.00019967174739576876,0.00011932804852966606,0.001975047867745161,/Users/kkreth/PycharmProjects/data/Final_Cubed_OG_Data_wLatent/3p6/0474.pkl.gz
0619.pkl.gz,26448,375,0.0004606006550602615,0.0009153768187388778,0.0006015179678797722,0.0006773616803654439,0.00021249533165246248,0.0001795179268810898,0.00011175764666404575,0.00042230356484651566,0.0002775067405309528,0.00023603130830451846,0.00014368075062520802,0.0005447421572171152,0.00031249657406019825,0.0047454144805669785,/Users/kkreth/PycharmProjects/data/Final_Cubed_OG_Data_wLatent/6p4/0619.pkl.gz
1194.pkl.gz,26448,375,0.0005266241496428847,0.0010144473053514957,0.0006848049233667552,0.0007630298978124436,0.00024295489129144698,0.00021481163275893778,0.00012081542081432417,0.00046800923882983625,0.0003159306652378291,0.00028078851755708456,0.0001552591274958104,0.0006051526288501918,0.00035201923906214797,0.004177231341600418,/Users/kkreth/PycharmProjects/data/Final_Cubed_OG_Data_wLatent/6p6/1194.pkl.gz
0271.pkl.gz,26448,375,0.00047818809980526567,0.0009251826559193432,0.0006247949786484241,0.0006990885248279125,0.00022060921764932573,0.00019242805137764663,0.00011270710820099339,0.00042682752246037126,0.0002882454136852175,0.00025306461611762643,0.00014468545850832015,0.0005526966415345669,0.0003225202867532696,0.004409660119563341,/Users/kkreth/PycharmProjects/data/Final_Cubed_OG_Data_wLatent/6p4/0271.pkl.gz
0507.pkl.gz,26448,375,0.00050736078992486,0.0010907206451520324,0.0006637987680733204,0.0007629967459385931,0.00023406783293467015,0.00019932183204218745,0.00013362760364543647,0.0005031975451856852,0.000306239613564685,0.0002616233832668513,0.00017356270109303296,0.0006571231060661376,0.00035200385793141627,0.005204923450946808,/Users/kkreth/PycharmProjects/data/Final_Cubed_OG_Data_wLatent/6p4/0507.pkl.gz
1059.pkl.gz,26448,375,0.0002002566761802882,0.0003617379115894437,0.00025942406500689685,0.00028220951937281934,9.23872139537707e-05,8.394605538342148e-05,3.987845411757007e-05,0.00016688562755007297,0.00011968375474680215,0.00010911127901636064,5.1251343393232673e-05,0.00021548174845520407,0.00013019557180001833,0.0016472134739160538,/Users/kkreth/PycharmProjects/data/Final_Cubed_OG_Data_wLatent/3p6/1059.pkl.gz
0037.pkl.gz,26448,375,0.0006728016305714846,0.0012509729713201523,0.0008773456793278456,0.0009587281843350661,0.0003103930503129959,0.0002830711309798062,0.00013911696441937238,0.0005771288997493684,0.000404758146032691,0.00037025404162704945,0.00017833446327131242,0.0007490424904972315,0.0004423036553253631,0.005537047050893307,/Users/kkreth/PycharmProjects/data/Final_Cubed_OG_Data_wLatent/8p4/0037.pkl.gz
0967.pkl.gz,26448,375,0.0005604514735750854,0.0009653843590058386,0.0007304209284484386,0.0007876954042752415,0.0002585609327070415,0.00025112571893259883,0.00010530096187721938,0.0004453744040802121,0.00033697529579512775,0.00032733730040490627,0.00013603712432086468,0.0005768797127529979,0.0003633986822702027,0.004930545575916767,/Users/kkreth/PycharmProjects/data/Final_Cubed_OG_Data_wLatent/7p2/0967.pkl.gz
0479.pkl.gz,26448,375,0.0004651424242183566,0.0008619321160949767,0.0006070638773962855,0.0006729968228038756,0.00021459067647811025,0.00019578682258725166,0.0001039938724716194,0.00039764726534485817,0.0002800653164740652,0.0002571842633187771,0.00013402684999164194,0.0005156939732842147,0.0003104831634941757,0.004727896302938461,/Users/kkreth/PycharmProjects/data/Final_Cubed_OG_Data_wLatent/6p6/0479.pkl.gz
