mass_A
t	x	y
9.716666667E0	4.873305903E1	5.544792576E1
9.733333333E0	4.873653977E1	5.540546873E1
9.750000000E0	4.872105943E1	5.535286788E1
9.766666667E0	4.872634070E1	5.531500766E1
9.783333333E0	4.873244140E1	5.529755991E1
9.800000000E0	4.873251472E1	5.526304513E1
9.816666667E0	4.872233168E1	5.519587551E1
9.833333333E0	4.872572998E1	5.515597917E1
9.850000000E0	4.873344902E1	5.513370284E1
9.866666667E0	4.873510303E1	5.510088536E1
9.883333333E0	4.872466418E1	5.502873293E1
9.900000000E0	4.872982080E1	5.498991263E1
9.916666667E0	4.873292719E1	5.495845614E1
9.933333333E0	4.872359339E1	5.488626491E1
9.950000000E0	4.872767300E1	5.483607156E1
9.966666667E0	4.873226268E1	5.480933555E1
9.983333333E0	4.873879094E1	5.476470337E1
1.000000000E1	4.872608557E1	5.468749153E1
1.001666667E1	4.873196462E1	5.464924213E1
1.003333333E1	4.873638722E1	5.460330133E1
1.005000000E1	4.872592138E1	5.452354595E1
1.006666667E1	4.873173702E1	5.449675278E1
1.008333333E1	4.873638149E1	5.444801787E1
1.010000000E1	4.872694546E1	5.436566688E1
1.011666667E1	4.873239729E1	5.433123502E1
1.013333333E1	4.873895744E1	5.426748236E1
1.015000000E1	4.872813262E1	5.420239020E1
1.016666667E1	4.873332802E1	5.416648806E1
1.018333333E1	4.872115403E1	5.409173332E1
1.020000000E1	4.872933977E1	5.402730459E1
1.021666667E1	4.873332864E1	5.399547190E1
1.023333333E1	4.872298897E1	5.390979061E1
1.025000000E1	4.873029570E1	5.385875734E1
1.026666667E1	4.873843049E1	5.382435498E1
1.028333333E1	4.872917380E1	5.372786517E1
1.030000000E1	4.873401306E1	5.368791573E1
1.031666667E1	4.874167434E1	5.363053110E1
1.033333333E1	4.873098729E1	5.355454731E1
1.035000000E1	4.873850064E1	5.351265200E1
1.036666667E1	4.872784544E1	5.342919868E1
1.038333333E1	4.873390345E1	5.337582052E1
1.040000000E1	4.873910859E1	5.334174505E1
1.041666667E1	4.873017215E1	5.324492163E1
1.043333333E1	4.873526720E1	5.320618726E1
1.045000000E1	4.874262892E1	5.314653065E1
1.046666667E1	4.873395982E1	5.307218899E1
1.048333333E1	4.873939018E1	5.303547011E1
1.050000000E1	4.872688846E1	5.296398064E1
1.051666667E1	4.873555307E1	5.289321816E1
1.053333333E1	4.874009742E1	5.285425014E1
1.055000000E1	4.873158012E1	5.276465914E1
1.056666667E1	4.873935584E1	5.272615160E1
1.058333333E1	4.874583619E1	5.267201262E1
1.060000000E1	4.873493699E1	5.259538336E1
1.061666667E1	4.873916245E1	5.255704450E1
1.063333333E1	4.873000170E1	5.248909509E1
1.065000000E1	4.873699370E1	5.242130153E1
1.066666667E1	4.873913451E1	5.239323693E1
1.068333333E1	4.873051856E1	5.231799205E1
1.070000000E1	4.873612041E1	5.225614207E1
1.071666667E1	4.874338979E1	5.222649195E1
1.073333333E1	4.872957915E1	5.216597973E1
1.075000000E1	4.873614145E1	5.209580749E1
1.076666667E1	4.874346581E1	5.206954151E1
1.078333333E1	4.873244127E1	5.199366375E1
1.080000000E1	4.873684288E1	5.193935198E1
1.081666667E1	4.874184459E1	5.191512272E1
1.083333333E1	4.874814261E1	5.186529469E1
1.085000000E1	4.873497105E1	5.179518226E1
1.086666667E1	4.874031740E1	5.176260357E1
1.088333333E1	4.874408366E1	5.173791915E1
1.090000000E1	4.873425549E1	5.166616661E1
1.091666667E1	4.873651883E1	5.161647674E1
1.093333333E1	4.874147011E1	5.159533491E1
1.095000000E1	4.874662855E1	5.156075714E1
1.096666667E1	4.873602458E1	5.149085840E1
1.098333333E1	4.874046093E1	5.145215274E1
1.100000000E1	4.874351837E1	5.142980491E1
1.101666667E1	4.874757158E1	5.141420503E1
1.103333333E1	4.873515774E1	5.133370894E1
1.105000000E1	4.873931152E1	5.130567958E1
1.106666667E1	4.874199391E1	5.128320542E1
1.108333333E1	4.874467446E1	5.126894101E1
1.110000000E1	4.874886543E1	5.124338690E1
1.111666667E1	4.875312140E1	5.120367871E1
1.113333333E1	4.873878472E1	5.115944899E1
1.115000000E1	4.874263037E1	5.113249977E1
1.116666667E1	4.874341993E1	5.111429420E1
1.118333333E1	4.874578098E1	5.110650934E1
1.120000000E1	4.874804002E1	5.108532385E1
1.121666667E1	4.875043138E1	5.106765712E1
1.123333333E1	4.873687268E1	5.102963654E1
1.125000000E1	4.873684194E1	5.099229201E1
1.126666667E1	4.874037171E1	5.097849624E1
1.128333333E1	4.874123487E1	5.096722447E1
1.130000000E1	4.874206500E1	5.095941904E1
1.131666667E1	4.874598650E1	5.095126506E1
1.133333333E1	4.874498671E1	5.094032027E1
1.135000000E1	4.874574678E1	5.093912194E1
1.136666667E1	4.874516736E1	5.093443581E1
1.138333333E1	4.874740818E1	5.093053720E1
1.140000000E1	4.874826908E1	5.092279553E1
1.141666667E1	4.874862293E1	5.091861885E1
1.143333333E1	4.874956830E1	5.091628884E1
1.145000000E1	4.874947406E1	5.090970057E1
1.146666667E1	4.875026652E1	5.090853127E1
1.148333333E1	4.875071886E1	5.090648044E1
1.150000000E1	4.875106904E1	5.090667124E1
1.151666667E1	4.875071832E1	5.090803644E1
1.153333333E1	4.875040279E1	5.090887325E1
1.155000000E1	4.874897739E1	5.091889087E1
1.156666667E1	4.874777855E1	5.092784006E1
1.158333333E1	4.874617957E1	5.093646048E1
1.160000000E1	4.874493137E1	5.094371821E1
1.161666667E1	4.874314536E1	5.094818902E1
1.163333333E1	4.874224855E1	5.095601833E1
1.165000000E1	4.874014927E1	5.096277278E1
1.166666667E1	4.873775436E1	5.097614590E1
1.168333333E1	4.873879709E1	5.098218284E1
1.170000000E1	4.873634595E1	5.099719390E1
1.171666667E1	4.874954080E1	5.104234852E1
1.173333333E1	4.874713247E1	5.108094677E1
1.175000000E1	4.874356515E1	5.109863216E1
1.176666667E1	4.874140093E1	5.111707240E1
1.178333333E1	4.873830213E1	5.113041642E1
1.180000000E1	4.873814458E1	5.114651218E1
1.181666667E1	4.873349056E1	5.119424833E1
1.183333333E1	4.874700007E1	5.123445431E1
1.185000000E1	4.874070162E1	5.126886581E1
1.186666667E1	4.874013537E1	5.128039495E1
1.188333333E1	4.873690238E1	5.130814843E1
1.190000000E1	4.873266561E1	5.133618034E1
1.191666667E1	4.874550997E1	5.139774815E1
1.193333333E1	4.874070216E1	5.143692484E1
1.195000000E1	4.873593390E1	5.145468719E1
1.196666667E1	4.873494096E1	5.148680869E1
1.198333333E1	4.874504524E1	5.156030932E1
1.200000000E1	4.873895030E1	5.159532682E1
1.201666667E1	4.873586821E1	5.161728409E1
1.203333333E1	4.873275658E1	5.164727386E1
1.205000000E1	4.874331657E1	5.173322839E1
1.206666667E1	4.873898104E1	5.175860199E1
1.208333333E1	4.873507645E1	5.179227993E1
1.210000000E1	4.872999144E1	5.183698062E1
1.211666667E1	4.874067962E1	5.190946734E1
1.213333333E1	4.873609095E1	5.193961027E1
1.215000000E1	4.873168492E1	5.197258306E1
1.216666667E1	4.874091486E1	5.205639014E1
1.218333333E1	4.873734233E1	5.209563852E1
1.220000000E1	4.873207058E1	5.211978362E1
1.221666667E1	4.874150097E1	5.221891407E1
1.223333333E1	4.873439234E1	5.225305742E1
1.225000000E1	4.873061295E1	5.229324279E1
1.226666667E1	4.874070932E1	5.238357703E1
1.228333333E1	4.873425467E1	5.240974273E1
1.230000000E1	4.872937081E1	5.246516215E1
1.231666667E1	4.873691076E1	5.254464232E1
1.233333333E1	4.873199929E1	5.257849921E1
1.235000000E1	4.872833154E1	5.264166212E1
1.236666667E1	4.873605285E1	5.270719644E1
1.238333333E1	4.873199387E1	5.274485405E1
1.240000000E1	4.874213190E1	5.281365689E1
1.241666667E1	4.873560965E1	5.288321205E1
1.243333333E1	4.873043101E1	5.291659731E1
1.245000000E1	4.873834306E1	5.299848274E1
1.246666667E1	4.873304660E1	5.305097304E1
1.248333333E1	4.872966813E1	5.308411839E1
1.250000000E1	4.874000723E1	5.316556644E1
1.251666667E1	4.873419269E1	5.321712612E1
1.253333333E1	4.872600152E1	5.326578156E1
1.255000000E1	4.873798293E1	5.334743895E1
1.256666667E1	4.873155000E1	5.338413307E1
1.258333333E1	4.872521595E1	5.344615160E1
1.260000000E1	4.873537143E1	5.351692369E1
1.261666667E1	4.872949308E1	5.355319128E1
1.263333333E1	4.873965690E1	5.362866218E1
1.265000000E1	4.873283662E1	5.369046588E1
1.266666667E1	4.872927741E1	5.371776397E1
1.268333333E1	4.873778826E1	5.380648297E1
1.270000000E1	4.873045842E1	5.385951754E1
1.271666667E1	4.872692614E1	5.389003923E1
1.273333333E1	4.873614601E1	5.397753944E1
1.275000000E1	4.873084851E1	5.402196973E1
1.276666667E1	4.872573362E1	5.406224198E1
1.278333333E1	4.873523266E1	5.414933067E1
1.280000000E1	4.873014295E1	5.418839912E1
1.281666667E1	4.872442056E1	5.422169067E1
1.283333333E1	4.873559882E1	5.430601977E1
1.285000000E1	4.872934693E1	5.435027068E1
1.286666667E1	4.872525696E1	5.438616781E1
1.288333333E1	4.873518531E1	5.446914624E1
1.290000000E1	4.873128741E1	5.450280657E1
1.291666667E1	4.872457529E1	5.454368156E1
1.293333333E1	4.873659908E1	5.461381654E1
1.295000000E1	4.873068414E1	5.466211097E1
1.296666667E1	4.872643617E1	5.469206196E1
1.298333333E1	4.873629480E1	5.475676936E1
1.300000000E1	4.873199608E1	5.481320014E1
1.301666667E1	4.872678108E1	5.483737721E1
1.303333333E1	4.872108961E1	5.488290746E1
1.305000000E1	4.873626480E1	5.494887314E1
1.306666667E1	4.872797695E1	5.498748573E1
1.308333333E1	4.872782846E1	5.500833048E1
1.310000000E1	4.871679992E1	5.506696058E1
1.311666667E1	4.873461265E1	5.511556538E1
1.313333333E1	4.872916911E1	5.514989458E1
1.315000000E1	4.872603649E1	5.516395767E1
1.316666667E1	4.871898546E1	5.520755393E1
1.318333333E1	4.873417816E1	5.526184631E1
1.320000000E1	4.872990462E1	5.529922652E1
1.321666667E1	4.873219734E1	5.531519785E1
1.323333333E1	4.872190890E1	5.533953257E1
1.325000000E1	4.871984355E1	5.537389292E1
1.326666667E1	4.873311715E1	5.542026711E1
1.328333333E1	4.872971860E1	5.545462280E1
1.330000000E1	4.872666860E1	5.546964116E1
1.331666667E1	4.872544151E1	5.548013679E1
1.333333333E1	4.872210050E1	5.550672900E1
1.335000000E1	4.871933019E1	5.552749076E1
1.336666667E1	4.873373830E1	5.557043830E1
1.338333333E1	4.873310540E1	5.560534419E1
1.340000000E1	4.872914933E1	5.561789509E1
1.341666667E1	4.872856220E1	5.562902411E1
1.343333333E1	4.872692510E1	5.563663782E1
1.345000000E1	4.872464711E1	5.564336254E1
1.346666667E1	4.872356487E1	5.565362667E1
1.348333333E1	4.872139120E1	5.566261452E1
1.350000000E1	4.871867464E1	5.568847747E1
1.351666667E1	4.871769303E1	5.569544650E1
1.353333333E1	4.871823401E1	5.570559785E1
1.355000000E1	4.873542250E1	5.572468835E1
1.356666667E1	4.873414675E1	5.574320285E1
1.358333333E1	4.873310267E1	5.575133617E1
1.360000000E1	4.873307879E1	5.575161769E1
1.361666667E1	4.873219706E1	5.575668575E1
1.363333333E1	4.873221125E1	5.575927917E1
1.365000000E1	4.873333687E1	5.575946655E1
1.366666667E1	4.873469667E1	5.575840689E1
1.368333333E1	4.873436758E1	5.575877857E1
1.370000000E1	4.873481203E1	5.575463987E1
1.371666667E1	4.873497664E1	5.575156491E1
1.373333333E1	4.873402510E1	5.574773706E1
1.375000000E1	4.873598446E1	5.572984258E1
1.376666667E1	4.871910119E1	5.570713900E1
1.378333333E1	4.872100222E1	5.567708537E1
1.380000000E1	4.872308099E1	5.566423848E1
1.381666667E1	4.872450909E1	5.564779119E1
1.383333333E1	4.872914664E1	5.563544344E1
1.385000000E1	4.872839979E1	5.563117199E1
1.386666667E1	4.873167975E1	5.562006351E1
1.388333333E1	4.873226552E1	5.560557585E1
1.390000000E1	4.873378531E1	5.558328031E1
1.391666667E1	4.872040857E1	5.554474511E1
1.393333333E1	4.872527114E1	5.549748868E1
1.395000000E1	4.872693327E1	5.548183511E1
1.396666667E1	4.872983932E1	5.546884388E1
1.398333333E1	4.873046327E1	5.544541106E1
1.400000000E1	4.873684341E1	5.541942329E1
1.401666667E1	4.872222197E1	5.537744621E1
1.403333333E1	4.872602600E1	5.532257349E1
1.405000000E1	4.873106494E1	5.530806405E1
1.406666667E1	4.873506491E1	5.528461026E1
1.408333333E1	4.873952630E1	5.523717748E1
1.410000000E1	4.872557849E1	5.518065838E1
1.411666667E1	4.872955911E1	5.515245295E1
1.413333333E1	4.873498884E1	5.513103077E1
1.415000000E1	4.873739663E1	5.509387587E1
1.416666667E1	4.872786410E1	5.502656616E1
1.418333333E1	4.873305542E1	5.498492705E1
1.420000000E1	4.873730905E1	5.496371146E1
1.421666667E1	4.872439274E1	5.490354577E1
1.423333333E1	4.872845500E1	5.484028397E1
1.425000000E1	4.873415356E1	5.481714669E1
1.426666667E1	4.873901362E1	5.477269983E1
1.428333333E1	4.872726984E1	5.469768627E1
1.430000000E1	4.873435187E1	5.466232706E1
1.431666667E1	4.873692951E1	5.462887717E1
1.433333333E1	4.872673268E1	5.454619991E1
1.435000000E1	4.873211182E1	5.450122103E1
1.436666667E1	4.873801391E1	5.447631018E1
1.438333333E1	4.872455636E1	5.438943268E1
1.440000000E1	4.873212913E1	5.434689165E1
1.441666667E1	4.873807767E1	5.431045872E1
1.443333333E1	4.872588600E1	5.422450725E1
1.445000000E1	4.873295527E1	5.418059786E1
